epoch,train_loss,train_loss_body,train_loss_hands,train_loss_feet,train_pck,val_loss,val_loss_body,val_loss_hands,val_loss_feet,val_pck,test_loss,test_loss_body,test_loss_hands,test_loss_feet,test_pck
1,0.010341789780994835,0.0008544716403523101,0.0011613967335123085,0.001210432803423265,82.70337571206406,0.005516591632077771,0.00032171521917499573,0.0006361892642987404,0.0006625298433603326,95.40980154189036,0.005108107579872012,0.00023228821373777464,0.0005776095148994009,0.0006413453272732629,96.92458083083088
2,0.004721415892134801,0.0002829693853327871,0.0005736605522657156,0.0005359510764022329,96.33272992577925,0.00419395137578249,0.00026120298464263466,0.0005365859134636793,0.00044660118373451374,96.82073200208244,0.0039913126053540285,0.00020055832991036713,0.0005061211047939503,0.00044156747596413906,97.84255609776446
3,0.003858966219568867,0.0002441522244034093,0.0005086111861454415,0.000395092314381712,97.11619215052507,0.0036206677736293886,0.0002296734053084934,0.0004916220747341658,0.00035612651939323595,97.30300258181278,0.0035102845333214545,0.0001788457534653512,0.00047611989076186374,0.00035673980380886714,98.18976094149704
4,0.003427048154058344,0.0002204519399622405,0.00046861498721566204,0.00033303406671620906,97.48865442811619,0.003306352048544847,0.00021295588417437702,0.000459064506903945,0.00031428453673134596,97.5748623726287,0.003294406656956149,0.00016465235337917065,0.0004580606269096402,0.00032437794465835934,98.34178796852407
5,0.003166718873917856,0.0002048952234705342,0.0004399736451544703,0.00030048226879182953,97.7003977690637,0.003088146640074616,0.0001990449013760961,0.00043226295425373006,0.0002900124787779418,97.75500723523328,0.003144182299414801,0.00015389413483963172,0.0004416906351154368,0.000305881402636186,98.40122240295851
6,0.002973587478765792,0.0001936485106673618,0.00041583082557764456,0.00027915391645022574,97.85875854962175,0.002927910135124266,0.00018872635056828833,0.0004125383425308692,0.00027225760402538443,97.8959021070343,0.0030636451886715114,0.00014791895640932175,0.0004329156383047686,0.000296015920104912,98.45617318707596
7,0.0028195923029323998,0.00018564603652182816,0.00039516885677715887,0.00026331771002777524,97.98075377952046,0.002802498021920789,0.00018186193493847472,0.0003958189756506019,0.0002593400472033215,98.00008351806278,0.002972086359797096,0.00014329126940071079,0.00042112882963281026,0.00028606994011489724,98.50939481147815
8,0.0026968688184119795,0.00017929636655874434,0.00037794240717483777,0.0002514507060592802,98.07664920613351,0.0026969342963189206,0.00017635553934833363,0.00038089948676286203,0.00024924519965024565,98.05998061341342,0.002908733151097958,0.00013905697493543344,0.0004138556596936306,0.0002785633824296875,98.52503545211877
9,0.00259705083924993,0.00017421700784961606,0.00036388833486608694,0.00024182012366264592,98.14856774287813,0.002612173712084664,0.00017180323689853887,0.0003692463382921686,0.00024084628252546205,98.1330701639693,0.002873262985156396,0.00013660769793598257,0.0004090570948539755,0.00027510672894218385,98.56926370815259
10,0.0025120087216436997,0.00016978777727872266,0.0003516608672717695,0.00023389436825827983,98.21114296660811,0.002543871601422628,0.0001677280376096987,0.00035965521055262027,0.00023438067997031342,98.1773719729575,0.002841830121453952,0.00013196475294928342,0.00040591658703429073,0.0002715497527812683,98.57066267656543
11,0.0024391012297600777,0.00016613180718839905,0.0003413819016877253,0.0002268604541770621,98.26283636331284,0.002488872498243807,0.00016441148145401375,0.00035276288622706516,0.00022835236804861922,98.21015318742106,0.002810903390668131,0.00013024421610139512,0.000403765297567195,0.00026639949705772653,98.58864941330218
12,0.002373062101539408,0.00016262052030482167,0.00033158645954718105,0.00022102393676639605,98.3234952692633,0.0024357990129754,0.00016105969818884768,0.00034526745834860176,0.0002234173712477515,98.24889337317408,0.0027905145150332435,0.0001274686554687513,0.000401220189618274,0.0002645412782471426,98.60618430930931
13,0.002314634047837034,0.00015989647586485412,0.0003231313770648401,0.0002155530166623262,98.37203041519166,0.002388081918086683,0.00015898730861829214,0.0003382444204795959,0.00021902923380428638,98.28257299408705,0.0027832364053087862,0.00012580912211765158,0.0003998294851044193,0.0002645273388888863,98.59422790846398
14,0.0022633284064126724,0.00015715436655986268,0.0003155804145115432,0.00021096309453808607,98.40528826865712,0.0023452629619795415,0.00015651718244969671,0.00033251440148770567,0.00021467204525938265,98.31757086090278,0.002765226033138665,0.0001255649406851483,0.00039841107885680487,0.0002615041965917634,98.60455942053163
15,0.002217617723881998,0.00015507117854775818,0.0003089409990804145,0.0002066956386137169,98.44018439520104,0.0023031838106385375,0.00015392044684716156,0.0003260180765535936,0.00021129776421169948,98.35103931256687,0.0027442880327234395,0.0001232943131243873,0.0003936935485202215,0.00026155488012591377,98.62919342954062
16,0.0021706098269863314,0.00015304457636930116,0.00030214734026491895,0.00020224397170415874,98.47548832063967,0.002265535245773025,0.00015220417659671302,0.0003211777829911433,0.00020715498295988168,98.37853129963092,0.0027284608316934995,0.00012237768798415246,0.0003937271984476546,0.00025779359153553695,98.64672832554776
17,0.002128506319142143,0.00015117460139426757,0.000295419724487946,0.00019891320566193624,98.51426628822948,0.002246108229479028,0.00014995461466783111,0.0003186179236108337,0.00020542048281067016,98.41840355248158,0.002732275752350688,0.00012055377049585552,0.00039607442827341527,0.0002568560665020266,98.65415762985207
18,0.002093376895212339,0.00014925869831694248,0.00029027097115362055,0.00019575857767217163,98.54453440285836,0.0022096784237111288,0.00014875314606200923,0.0003133064162926615,0.00020192490304790197,98.41999794278672,0.0027123699531059814,0.00011955105887987097,0.00039140653845262587,0.0002567981821296082,98.66901623846066
19,0.002055725109065996,0.00014789087478997553,0.00028453655709301625,0.00019242200207470543,98.57188456473769,0.00217919737996874,0.0001464251768752335,0.0003090964356524115,0.00019909661731809565,98.45542814427763,0.0027105581027933876,0.00011815457863220315,0.0003929830874423371,0.0002551177957856625,98.65829371037702
20,0.0020219861318862627,0.0001463259988912849,0.0002793777996889261,0.00018953723368869737,98.59476646402084,0.0021546836604454346,0.00014537288673287992,0.0003054028208051244,0.00019692487227747143,98.47014626606784,0.002709358955758649,0.00011707329984936812,0.0003938890283304342,0.0002541823831396303,98.65790269436101
21,0.0019906335911241617,0.00014462704302256534,0.00027449976612663424,0.00018700187076499159,98.62024985063105,0.002135489742675509,0.0001435917385938948,0.0003024560939599877,0.00019551840818180004,98.49338612914426,0.0027033378483375184,0.0001167310486355721,0.0003912463564759221,0.0002554053418272225,98.66885114280946
22,0.001961090048303151,0.00014327365047984335,0.00027006488166031147,0.00018438921780367237,98.6470466193,0.0021101599346385687,0.000142823649729113,0.00029864034509681844,0.000193193725276468,98.49458317139535,0.002702221028959832,0.000116264058601086,0.00039278247906524385,0.00025370676637583137,98.67119723890555
23,0.0019331194058419812,0.00014185716724075427,0.0002656922964749841,0.0001821232629306155,98.67324887784527,0.0020908248259462283,0.0001412697758274837,0.00029649421825961585,0.00019089454509806902,98.52043703487787,0.0026934820296544886,0.00011468260669750414,0.00039152691346857493,0.0002531729449008315,98.677227574797
24,0.00190476886259868,0.00014086391412284466,0.00026129787155341425,0.00017967836551823456,98.68761687988142,0.0020668911964609204,0.0001400146990873447,0.0002922197533888228,0.00018949937261056863,98.54025445669583,0.0026913253949149636,0.0001142350300978177,0.00039297303128232424,0.0002512995555219744,98.67605452674893
25,0.0018799248553453339,0.00013963876916863016,0.0002576241604728006,0.00017744736063905945,98.70645078534646,0.0020496828166941534,0.00013984708097412028,0.0002897899705536103,0.000187668962352809,98.55810138203142,0.0026859720709507128,0.00011463831617367907,0.0003907771244632533,0.0002520563139114529,98.68074671894112
26,0.0018545557295845095,0.00013822586028450356,0.00025353620512433967,0.00017554626191680156,98.73148188591017,0.002034663299505856,0.0001380194393095083,0.000287930398257733,0.00018623056832999725,98.56468261536794,0.0026932377053575742,0.00011310396665656888,0.0003927804791601375,0.00025225295472852384,98.68504789511732
27,0.001830443870192686,0.00013729667960172268,0.0002497061940234764,0.00017358060398153677,98.74716630322008,0.002013566041295166,0.00013713350697498982,0.00028459284154992004,0.0001845152911564876,98.59371276423893,0.002681787047107276,0.00011346615025792523,0.00039181924846677765,0.00025026097274668564,98.68136365532196
28,0.0018077980218488606,0.00013629054523286129,0.0002463043232906752,0.0001715725450019557,98.76262457750683,0.0020016331319934206,0.00013575336966712836,0.0002827828745424454,0.000183687066814969,98.59150485854208,0.002681466451896405,0.0001119894725372826,0.0003924049960914999,0.00024996424523320655,98.69873345567788
29,0.0017838205240098884,0.00013528583180958054,0.00024240267111433277,0.00016973100204830947,98.77497549162325,0.0019834677348293927,0.00013514918079691535,0.0002802306582557044,0.0001818489796656441,98.61633911192361,0.002672504252955519,0.00011169288021896186,0.0003914991138043587,0.0002487037258892874,98.7116369842064
30,0.0017634304775960843,0.0001344680217303014,0.0002390822760459044,0.00016815833804289488,98.79296987060425,0.0019676534285415033,0.0001342391764130076,0.00027810016299195683,0.0001802533995577111,98.6217145563536,0.00267200093603114,0.0001116131929479338,0.0003914885687786532,0.0002486083669921484,98.6989593760427
31,0.0017425924010215652,0.0001335382540441419,0.00023592234956676918,0.00016634118725752432,98.8074056144405,0.0019542341330005225,0.00013382095679466356,0.00027534907929287173,0.0001797542156126704,98.64895164089249,0.0026840264468478993,0.00011082074274167394,0.0003936232077083676,0.00024967821770366535,98.70733580803021
32,0.0017208011784369435,0.00013263485835674074,0.00023227325090386742,0.00016476832875891091,98.8247748141248,0.001943012161637693,0.00013254569344473737,0.00027427382925341714,0.0001783427881142859,98.65040358566893,0.002676781266927719,0.00011058055659649088,0.0003928193123224569,0.00024873086324471325,98.70348647258366
33,0.0017028684142116675,0.0001318065470085592,0.0002295111399979201,0.00016325432657772642,98.83298471583238,0.0019276760385862441,0.00013242740768022957,0.0002719974664780962,0.0001768146914439977,98.66311622435579,0.0026786147704901727,0.00011143578818961475,0.00039322906043191716,0.00024856567796558847,98.70990782449113
34,0.0016838765001517507,0.0001310105835368978,0.00022661338639633539,0.0001616030924425214,98.84621020691652,0.001914415144658644,0.0001316648916513275,0.0002698318972911579,0.00017585566536086115,98.67393708645811,0.002684025952869372,0.00011019922523111156,0.00039542289930584565,0.0002480337842260613,98.69895937604268
35,0.0016641705702038088,0.00013008976073684004,0.0002232457262243566,0.00016027447646050483,98.85910777376579,0.001896945187174398,0.00013053582119692858,0.00026723455342899765,0.00017436778700266262,98.69127795530993,0.0026721728248269975,0.00010894194014867567,0.00039431747565096294,0.00024649024232309565,98.71303595261926
36,0.0016483444925147054,0.00012941298441363148,0.0002208268282556021,0.00015890604900295382,98.87151160063152,0.0018955692840826874,0.00013093586203076385,0.00026689005467379765,0.00017426830020025505,98.68264875511602,0.0026738765410374145,0.00010916741745392289,0.00039501796866691594,0.00024615931171275725,98.7110808725392
37,0.0016322863671402426,0.00012877906329805582,0.0002182208803339314,0.00015765594537375127,98.88154008319377,0.0018768657297630357,0.00012919966277593787,0.00026419716820414563,0.00017271934933150954,98.70728433447042,0.002676786489885401,0.00010939665092312655,0.0003949551102925545,0.000246892348317291,98.7161640807474
38,0.0016140904350648948,0.00012792205544905904,0.0002153930800336292,0.00015614901529938284,98.89196322071898,0.0018663219444113232,0.00012890571077632982,0.0002622319023749928,0.0001721221556816931,98.70828645126103,0.0026821407042695463,0.00010924328710864977,0.00039580249034082264,0.00024742186635833333,98.70130547213878
39,0.0015973229487447462,0.0001274944874345776,0.00021260034357147467,0.0001548567711377742,98.90530060373109,0.0018561607294325386,0.00012830309260020693,0.0002607773885332836,0.0001711870206096026,98.70947099829024,0.0026800473459769746,0.00010857272364601895,0.00039649566217023576,0.0002463729947890356,98.70052344010678
40,0.0015811310874323274,0.00012675609448486145,0.00021005230274515,0.00015354144558307376,98.91189953129411,0.0018431111693709395,0.00012672246935757338,0.00025945374627195394,0.00016964342761000345,98.73577468975864,0.0026841579709906836,0.00010799046779268522,0.0003983474704688667,0.0002456944081082789,98.71225392058726
41,0.0015665570356478004,0.00012608904628664665,0.00020776411394208603,0.00015235288370653335,98.92382175103585,0.001840725186861731,0.00012671846223475183,0.00025897571053664704,0.00016952596981817768,98.73901095221184,0.00268441837633381,0.00010809143546990722,0.00039751243752402226,0.0002465692965858112,98.71029884050718
42,0.0015517492996812736,0.00012542424558279744,0.0002054863136664718,0.00015109494963301673,98.93237541710084,0.001824352865634773,0.00012608855358457632,0.0002560050730171236,0.00016856100378928566,98.74195857504094,0.002672659607629317,0.00010790486880609565,0.0003969297041122273,0.00024425897965950236,98.71694611277944
43,0.0015393464430339735,0.00012496827440931473,0.0002035370928959946,0.00015005744977894913,98.9376862393958,0.0018111416393236715,0.00012524330420636548,0.0002543094299761178,0.0001671651539596809,98.76379772375039,0.0026843750037605293,0.00010721403580376048,0.0003976374837047597,0.00024665275830901355,98.71420900066735
44,0.0015228307504215248,0.00012414681444867544,0.00020091069008447147,0.00014876029343237774,98.95217590705265,0.0018057243286808918,0.00012552925632969479,0.0002535015509854401,0.0001665472180411924,98.76572073838963,0.0026801243720173435,0.00010777411316175366,0.000397101221244304,0.0002459863443053453,98.71968322489153
45,0.0015111926876242385,0.00012369767856427089,0.00019899941958651998,0.0001478743332364041,98.95491018178811,0.0017935794825735753,0.00012423121513808013,0.0002517661648384366,0.00016557090167489445,98.77443240704754,0.0026726214076719574,0.00010694543025975518,0.000398179330954303,0.00024323966774957356,98.71811916082748
46,0.0014958610482547316,0.00012315311435857505,0.00019644212983694812,0.0001467348535016864,98.96613172888406,0.0017858921995847136,0.00012390177758906277,0.0002505691566293405,0.00016492844823064404,98.78571934092403,0.0026882108099557257,0.0001079098012170918,0.00040068236381016876,0.00024439288795661385,98.70801356912467
47,0.0014830164541385967,0.00012235227675879825,0.00019457947638725252,0.00014558656805721133,98.97818673603429,0.0017820772377767442,0.00012350670096638035,0.00025033818878730807,0.000164304444450371,98.78538696802343,0.0026855739274037047,0.00010741316096706164,0.0004000780915973607,0.0002444621002084475,98.72202932098766
48,0.001471801653959592,0.00012205408250750146,0.00019275323556205718,0.0001446836571900316,98.97657003248388,0.0017687175994552005,0.00012310999703274767,0.00024779704499549123,0.00016360485517982341,98.78683016614445,0.0026908254225713178,0.00010672429178501605,0.00040143102956495275,0.00024459425539306894,98.72593948114779
49,0.001458306504505365,0.0001215470246626106,0.00019051014854741855,0.00014367972095648344,98.98810433774003,0.0017648826188017283,0.0001227510738089317,0.000247372576164075,0.00016316031106859512,98.79558056999,0.0026853730228754715,0.00010655404745390311,0.00040112062266121646,0.00024358412200534667,98.7146000166833
